,y,SRCH_EFRT,PRDV_CNT,CAT_CNT,EVNT_CNT,SAL_PRD,day_off,SEX_CD,AVG_SAL_AMT,AGE_30,AGE_50,AGE_60,AGE_1020
0,0,13,4,1,13,118000,1,1,13050.0,1,0,0,0
1,0,49,12,2,49,223320,0,1,13050.0,1,0,0,0
2,1,10,1,0,10,10000,1,1,14609.285714285714,0,0,0,0
3,0,16,3,1,16,16000,1,1,14609.285714285714,0,0,0,0
4,0,4,1,0,4,0,1,1,14609.285714285714,0,0,0,0
5,0,9,1,0,9,0,0,0,726.0,0,0,0,1
6,1,4,0,-1,4,0,1,0,726.0,0,0,0,1
7,1,24,9,2,24,63100,0,0,726.0,0,0,0,1
8,0,8,1,0,8,0,0,0,726.0,0,0,0,1
9,0,8,0,-1,8,0,0,0,726.0,0,0,0,1
10,0,53,9,2,53,135600,1,1,22942.727272727272,0,0,1,0
11,0,6,3,1,6,0,1,1,900.0,0,0,0,1
12,0,41,10,0,41,250320,1,0,23852.380952380958,1,0,0,0
13,1,69,19,2,69,301770,0,1,15346.153846153846,0,0,0,0
14,0,14,3,0,14,36900,0,1,15346.153846153846,0,0,0,0
15,0,15,4,1,15,39550,1,1,15346.153846153846,0,0,0,0
16,0,12,4,1,12,30000,1,1,15346.153846153846,0,0,0,0
17,0,26,5,2,26,89700,1,1,8400.0,0,0,0,0
18,0,40,12,3,40,82400,0,1,58647.91666666667,0,0,0,0
19,0,7,1,0,7,0,0,1,3125.476190476191,1,0,0,0
20,0,12,3,0,12,0,1,1,3125.476190476191,1,0,0,0
21,0,4,1,0,4,0,1,1,3125.476190476191,1,0,0,0
22,0,4,0,-1,4,0,1,1,3125.476190476191,1,0,0,0
23,0,5,0,-1,5,0,1,1,3125.476190476191,1,0,0,0
24,1,4,1,0,4,0,1,1,3125.476190476191,1,0,0,0
25,1,6,0,-1,6,0,0,1,3125.476190476191,1,0,0,0
26,0,20,4,0,20,1000,1,1,3125.476190476191,1,0,0,0
27,0,12,3,1,12,0,1,1,3125.476190476191,1,0,0,0
28,0,21,8,1,21,0,0,1,18584.285714285717,1,0,0,0
29,0,10,4,0,10,10000,0,1,6433.333333333334,0,0,0,0
30,1,15,3,1,15,38880,1,1,6400.0,1,0,0,0
31,0,5,2,1,5,19440,1,1,6400.0,1,0,0,0
32,0,7,3,1,7,48000,0,1,9862.5,0,0,1,0
33,1,23,5,0,23,0,1,1,16403.666666666668,0,0,1,0
34,1,62,13,1,62,20000,1,1,16403.666666666668,0,0,1,0
35,0,4,2,1,4,24650,0,1,16403.666666666668,0,0,1,0
36,0,4,1,0,4,0,0,1,16403.666666666668,0,0,1,0
37,1,4,2,1,4,22100,1,1,16403.666666666668,0,0,1,0
38,0,4,1,0,4,0,1,1,16403.666666666668,0,0,1,0
39,0,5,1,0,5,0,0,1,16403.666666666668,0,0,1,0
40,0,10,1,0,10,0,1,1,18009.115384615383,1,0,0,0
41,0,57,8,2,57,14000,1,0,642.8571428571429,0,0,0,1
42,0,13,4,0,13,0,1,0,642.8571428571429,0,0,0,1
43,0,7,3,0,7,0,1,0,642.8571428571429,0,0,0,1
44,0,11,0,-1,11,0,1,1,3111.173913043478,0,0,1,0
45,0,7,0,-1,7,0,1,1,3111.173913043478,0,0,1,0
46,0,9,0,-1,9,0,1,1,3111.173913043478,0,0,1,0
47,0,7,0,-1,7,0,1,1,3111.173913043478,0,0,1,0
48,1,16,0,-1,16,0,1,1,3111.173913043478,0,0,1,0
49,0,8,0,-1,8,0,1,1,3111.173913043478,0,0,1,0
50,0,6,0,-1,6,0,1,1,3111.173913043478,0,0,1,0
51,0,10,0,-1,10,0,1,1,3111.173913043478,0,0,1,0
52,0,5,0,-1,5,0,1,1,3111.173913043478,0,0,1,0
53,0,16,0,-1,16,0,1,1,3111.173913043478,0,0,1,0
54,0,6,0,-1,6,0,1,1,3111.173913043478,0,0,1,0
55,0,6,0,-1,6,0,1,1,3111.173913043478,0,0,1,0
56,0,16,0,-1,16,0,1,1,3111.173913043478,0,0,1,0
57,0,9,0,-1,9,0,1,1,3111.173913043478,0,0,1,0
58,0,7,0,-1,7,0,1,1,3111.173913043478,0,0,1,0
59,1,7,1,0,7,0,1,1,3111.173913043478,0,0,1,0
60,0,8,0,-1,8,0,0,1,3111.173913043478,0,0,1,0
61,1,8,0,-1,8,0,1,1,3111.173913043478,0,0,1,0
62,0,8,0,-1,8,0,1,1,3111.173913043478,0,0,1,0
63,1,18,0,-1,18,0,1,1,3111.173913043478,0,0,1,0
64,0,63,7,1,63,10500,0,1,3111.173913043478,0,0,1,0
65,0,112,28,2,112,197800,0,1,17883.333333333332,1,0,0,0
66,0,9,4,1,9,13300,1,1,17883.333333333332,1,0,0,0
67,1,7,2,0,7,0,0,1,17883.333333333332,1,0,0,0
68,1,80,15,1,80,215760,0,1,17883.333333333332,1,0,0,0
69,0,5,0,-1,5,0,0,1,17883.333333333332,1,0,0,0
70,0,7,0,-1,7,0,0,1,17883.333333333332,1,0,0,0
71,0,13,4,1,13,13000,0,1,16056.153846153846,0,0,0,0
72,0,9,0,-1,9,0,1,1,3548.235294117647,1,0,0,0
73,0,8,2,0,8,0,1,1,3548.235294117647,1,0,0,0
74,1,10,1,0,10,13300,0,1,35560.357142857145,0,0,0,0
75,0,17,5,1,17,26600,1,1,35560.357142857145,0,0,0,0
76,0,11,1,0,11,0,1,0,20517.852564102563,0,0,1,0
77,0,9,1,0,9,0,0,1,164705.0,1,0,0,0
78,0,7,3,1,7,18000,0,1,8787.5,0,1,0,0
79,0,4,1,0,4,0,1,1,8787.5,0,1,0,0
80,0,7,2,0,7,0,1,1,8787.5,0,1,0,0
81,0,4,2,1,4,13300,0,1,8787.5,0,1,0,0
82,0,4,2,1,4,14400,1,1,8787.5,0,1,0,0
83,0,29,8,1,29,0,1,1,8787.5,0,1,0,0
84,0,4,2,1,4,6500,0,1,8787.5,0,1,0,0
85,1,4,1,0,4,0,1,1,8787.5,0,1,0,0
86,0,4,2,1,4,24000,1,1,8787.5,0,1,0,0
87,1,6,3,2,6,45000,1,1,8787.5,0,1,0,0
88,0,4,2,1,4,18000,1,1,8787.5,0,1,0,0
89,0,4,1,0,4,0,0,1,8787.5,0,1,0,0
90,0,7,1,0,7,0,0,1,6500.0,1,0,0,0
91,0,14,3,0,14,13500,1,1,9791.666666666668,0,0,1,0
92,1,8,2,1,8,1500,1,1,9791.666666666668,0,0,1,0
93,1,10,2,0,10,65400,1,1,9791.666666666668,0,0,1,0
94,0,7,1,0,7,0,1,1,9791.666666666668,0,0,1,0
95,1,5,1,0,5,0,1,1,9791.666666666668,0,0,1,0
96,1,5,0,-1,5,0,1,1,9791.666666666668,0,0,1,0
97,1,36,12,2,36,85000,0,1,9791.666666666668,0,0,1,0
98,1,9,2,0,9,0,1,1,9791.666666666668,0,0,1,0
99,1,12,5,2,12,32600,1,1,9791.666666666668,0,0,1,0
100,0,5,1,0,5,0,1,1,9791.666666666668,0,0,1,0
101,0,5,1,0,5,0,1,1,9791.666666666668,0,0,1,0
102,1,15,3,1,15,12600,0,1,9791.666666666668,0,0,1,0
103,1,37,10,1,37,20500,0,1,9791.666666666668,0,0,1,0
104,0,5,1,0,5,0,1,1,9791.666666666668,0,0,1,0
105,1,17,2,1,17,1500,1,1,9791.666666666668,0,0,1,0
106,1,6,3,1,6,0,0,1,9791.666666666668,0,0,1,0
107,1,11,4,1,11,48300,1,1,9791.666666666668,0,0,1,0
108,1,16,3,0,16,0,1,1,9791.666666666668,0,0,1,0
109,1,10,2,0,10,0,1,1,9791.666666666668,0,0,1,0
110,1,5,1,0,5,0,1,1,9791.666666666668,0,0,1,0
111,1,7,2,1,7,0,0,1,9791.666666666668,0,0,1,0
112,1,30,5,1,30,72800,1,1,9791.666666666668,0,0,1,0
113,1,5,1,0,5,0,1,1,9791.666666666668,0,0,1,0
114,1,4,2,1,4,36400,0,1,9791.666666666668,0,0,1,0
